"""    Are there any estimates for when the Steam for Linux Beta will be out ?  they want to release it for oktoberfest ""","""    why oktoberfest? i get xmas, but that's pretty random. """,""" Are there any sources , or is that an estimate of your own ?  What site was that ? I can't find any dates whatsoever """,4.6956521739130439
"""    how do i know which programs are using internet connection ?  What do you mean ? ""","""    What 's the point of sharing a wi-fi connection over wi-fi anyway ? Can't you just connect to the primary network ? """,""" i want to see which program uses internet most  you don't know ? """,2.0869565217391304
"""    my dns is working good , I also cleared them . Delays still present  did you try disabling ipv6 with the boot option : ipv6 . **unknown**  trying , can we make the disable function working without restarting ? ""","""    The command is actually grub-install . not quite sure how to test if you have it for grub or grub2 though . """,""" may be able to use sysctl but not sure """,1.826086956521739
"""    i can't mount my drive i formatted with 12.04 i can read it if i load live cd on the original computer but no other computers  Please run "" sudo parted -l | pastebinit "" and post the URL that it outputs here .  i can't -- i have no mouse  My instructions do not require a mouse . ""","""    tried nothing helped """,""" thanks for trying to help -- i don't have the keyboard skills to pastebin from terminal without a mouse """,3.0869565217391304
"""    how do i know which programs are using internet connection ?  What do you mean ? ""","""    if i turn off my wifi, how do i know which of the programs i have runnning will stop working as expected? """,""" i want to see which program uses internet most  you don't know ? """,4.8695652173913047
"""    trying to connect a vga to my laptop but no signal . what should I do ?  is there a shortcut key to change the display profile ""","""    just the file ~/ . profile """,""" I check the display setting already if that what your talking about """,2.8695652173913042
"""    only the first time , anytime after that for 5 minutes will not prompt for password  Right , but at some point , a password needs to be supplied , so using sudo in a script is a problem ""","""    exactly """,""" using sudo to run ifconfig is pointless in itself """,4.1304347826086953
"""    i can't mount my drive i formatted with 12.04 i can read it if i load live cd on the original computer but no other computers  Please run "" sudo parted -l | pastebinit "" and post the URL that it outputs here .  i can't -- i have no mouse  My instructions do not require a mouse . ""","""    how am i supposed to open the terminal without a mouse? """,""" thanks for trying to help -- i don't have the keyboard skills to pastebin from terminal without a mouse """,5.0
"""    trying to connect a vga to my laptop but no signal . what should I do ?  is there a shortcut key to change the display profile ""","""    no , it 's not in the screen """,""" I check the display setting already if that what your talking about """,3.0869565217391304
"""    Did you install proprietary drivers in the last session before rebooting ?  yes Nvidia  OK ... sounds like you need to run "" nvidia x settings "" ... type "" nvidia "" in the dashboard  That allowed me to fix the problem . What would cause that ? ""","""    and i was just trying to point you to the official docs giving pretty much infos about current packages in the current lts release . wish you good luck with the screen setup ;) """,""" I think it would be that the driver couldn't determine the optimum mode from what the display told it """,2.1739130434782608
"""    how do i know which programs are using internet connection ?  What do you mean ? ""","""    latest precise kernel is 3.2 . 0.30 you may want to run updates : sudo apt-get update ; sudo apt-get dist-upgrade """,""" i want to see which program uses internet most  you don't know ? """,1.2173913043478262
